Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1648.474182671091,OUT049
FDW14,1363.6437794828846,OUT017
NCN55,570.7164989939492,OUT010
FDQ58,2480.962484071835,OUT017
FDY38,5829.410248680251,OUT027
FDH56,1943.372968749867,OUT046
FDL48,765.0846524785416,OUT018
FDC48,2155.1186988010113,OUT027
FDN33,1510.226519785221,OUT045
FDA36,3095.328075428021,OUT017
FDT44,1932.0230216542923,OUT017
FDQ56,1358.5049837907272,OUT045
NCC54,572.2267485017793,OUT019
FDU11,2022.3880248817552,OUT049
DRL59,872.9395199289509,OUT013
FDM24,2462.6554342793706,OUT049
FDI57,3042.4541254157402,OUT045
DRC12,2964.0168831858637,OUT018
NCM42,2914.925272314678,OUT027
FDA46,509.28671583431935,OUT010
FDA31,2853.024970157834,OUT013
NCJ31,3847.9624237894436,OUT035
FDG52,789.077924548476,OUT046
NCL19,286.9086908425368,OUT019
FDS10,2981.3268001876127,OUT035
FDX22,561.331173465326,OUT010
NCF19,759.5929922614686,OUT035
NCE06,2547.0641875518895,OUT046
DRC27,3895.618582036667,OUT046
FDE21,1953.2247010285832,OUT035
NCR42,130.59312197961836,OUT019
FDX51,2993.6352625644568,OUT018
NCR06,617.7063841038233,OUT018
FDU31,5833.261286929625,OUT027
FDU59,2560.078451400826,OUT017
FDR03,5833.229368107044,OUT027
FDS49,2041.9675356735856,OUT027
FDD48,270.55661845467387,OUT010
NCF18,3015.026023927515,OUT017
NCD43,2860.3425437946526,OUT027
NCD54,2118.387483579633,OUT018
FDY19,271.23734630801994,OUT010
NCY54,2858.3382710080205,OUT017
NCL19,2435.746389020609,OUT018
FDP23,566.0586149869639,OUT010
FDC26,1731.2590936011497,OUT013
FDR14,130.59312197961836,OUT010
NCS41,3116.222655827226,OUT035
FDF41,3867.039186884952,OUT035
FDU34,2051.2622587528253,OUT046
DRH11,969.8649851607852,OUT046
FDM03,1649.085827230845,OUT013
FDS31,3043.0654652630665,OUT017
FDJ20,2002.466029201107,OUT017
FDV44,5208.752805938924,OUT027
FDG02,3113.382270782755,OUT049
FDA09,3004.863919744961,OUT013
FDT04,706.0400549664556,OUT013
FDL58,568.4867952669796,OUT019
FDE52,1382.4105100913296,OUT045
FDW12,2499.9153332602928,OUT035
FDL51,3660.3078926471558,OUT017
NCY42,3011.298503756118,OUT027
FDR07,1537.1023360540587,OUT017
FDN40,2481.4706304226274,OUT045
FDB35,2703.002510809314,OUT027
FDA22,2550.3310304046995,OUT017
NCL06,4145.943148863233,OUT046
FDI35,3064.696200574651,OUT013
NCW42,3757.554670803127,OUT045
NCX06,3001.5506371910865,OUT049
FDC37,2900.1697394828543,OUT027
FDZ14,1950.9448958173268,OUT018
DRG49,3879.7383733527304,OUT049
NCG06,4107.669923653112,OUT045
